UniProt Acc,Gene Name,Protein Name
Q96HW7,INTS4,Integrator complex subunit 4
Q13508,ART3,Ecto-ADP-ribosyltransferase 3
Q7Z7M0,MEGF8,Multiple epidermal growth factor-like domains protein 8
Q9HBJ0,PLAC1,Placenta-specific protein 1
Q6P9H5,GIMAP6,GTPase IMAP family member 6
Q9UJJ9,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma
P08236,GUSB,Beta-glucuronidase
Q9UQ53,MGAT4B,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"
Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4
O60551,NMT2,Glycylpeptide N-tetradecanoyltransferase 2
O15162,PLSCR1,Phospholipid scramblase 1
P49593,PPM1F,Protein phosphatase 1F
P48775,TDO2,"Tryptophan 2,3-dioxygenase"
O00635,TRIM38,E3 ubiquitin-protein ligase TRIM38
O60291,MGRN1,E3 ubiquitin-protein ligase MGRN1
P13646,KRT13,"Keratin, type I cytoskeletal 13"
Q13702,RAPSN,43 kDa receptor-associated protein of the synapse
Q9UIF7,MUTYH,Adenine DNA glycosylase
Q9BQ66,KRTAP4-12,Keratin-associated protein 4-12
P50453,SERPINB9,Serpin B9
Q9NUQ6,SPATS2L,SPATS2-like protein
O60749,SNX2,Sorting nexin-2
Q9P1Q0,VPS54,Vacuolar protein sorting-associated protein 54
Q9HCN2,TP53AIP1,p53-regulated apoptosis-inducing protein 1
Q96M61,MAGEB18,Melanoma-associated antigen B18
O43272,PRODH,"Proline dehydrogenase 1, mitochondrial"
Q9BT04,FUZ,Protein fuzzy homolog
Q14695,KIAA0087,Uncharacterized protein KIAA0087
Q8TC59,PIWIL2,Piwi-like protein 2
P45378,TNNT3,"Troponin T, fast skeletal muscle"
Q99547,MPHOSPH6,M-phase phosphoprotein 6
P07333,CSF1R,Macrophage colony-stimulating factor 1 receptor
P28329,CHAT,Choline O-acetyltransferase
Q7Z4N8,P4HA3,Prolyl 4-hydroxylase subunit alpha-3
Q8N8K9,KIAA1958,Uncharacterized protein KIAA1958
Q9UBK9,UXT,Protein UXT
Q9P2M4,TBC1D14,TBC1 domain family member 14
Q96FX7,TRMT61A,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A
P59046,NLRP12,"NACHT, LRR and PYD domains-containing protein 12"
Q9Y6M9,NDUFB9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
Q06418,TYRO3,Tyrosine-protein kinase receptor TYRO3
O43261,DLEU1,Leukemia-associated protein 1
Q9UNE2,RPH3AL,Rab effector Noc2
Q15102,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1
Q9BVG8,KIFC3,Kinesin-like protein KIFC3
O15146,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase"
P49888,SULT1E1,Sulfotransferase 1E1
Q96QH2,PRAM1,PML-RARA-regulated adapter molecule 1
Q8IWX7,UNC45B,Protein unc-45 homolog B
P24071,FCAR,Immunoglobulin alpha Fc receptor
Q6P1W5,C1orf94,Uncharacterized protein C1orf94
Q9NZV5,SELENON,Selenoprotein N
Q8IXR5,FAM178B,Protein FAM178B
Q8TCJ0,FBXO25,F-box only protein 25
Q9Y287,ITM2B,Integral membrane protein 2B
P40200,CD96,T-cell surface protein tactile
Q709F0,ACAD11,Acyl-CoA dehydrogenase family member 11
Q03013,GSTM4,Glutathione S-transferase Mu 4
Q13352,ITGB3BP,Centromere protein R
P32019,INPP5B,"Type II inositol 1,4,5-trisphosphate 5-phosphatase"
P02538,KRT6A,"Keratin, type II cytoskeletal 6A"
Q9H2B2,SYT4,Synaptotagmin-4
Q9Y6V7,DDX49,Probable ATP-dependent RNA helicase DDX49
O75426,FBXO24,F-box only protein 24
Q6UVJ0,SASS6,Spindle assembly abnormal protein 6 homolog
Q14527,HLTF,Helicase-like transcription factor
Q8NA92,THAP8,THAP domain-containing protein 8
Q92481,TFAP2B,Transcription factor AP-2-beta
P55347,PKNOX1,Homeobox protein PKNOX1
Q9NWW6,NMRK1,Nicotinamide riboside kinase 1
Q2M2I5,KRT24,"Keratin, type I cytoskeletal 24"
P78325,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8
P55774,CCL18,C-C motif chemokine 18
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1
P24046,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1
Q9HCN4,GPN1,GPN-loop GTPase 1
Q9BWE0,REPIN1,DNA-binding protein REPIN1
O14522,PTPRT,Receptor-type tyrosine-protein phosphatase T
A8MYZ6,FOXO6,Forkhead box protein O6
Q9NP81,SARS2,"Serine--tRNA ligase, mitochondrial"
Q00688,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3
Q9NYZ3,GTSE1,G2 and S phase-expressed protein 1
Q9P013,CWC15,Spliceosome-associated protein CWC15 homolog
Q86YS6,RAB43,Ras-related protein Rab-43
Q8N1V2,CFAP52,Cilia- and flagella-associated protein 52
Q5W041,ARMC3,Armadillo repeat-containing protein 3
Q9H816,DCLRE1B,5' exonuclease Apollo
A1A4Y4,IRGM,Immunity-related GTPase family M protein
Q8TAI7,RHEBL1,GTPase RhebL1
Q99717,SMAD5,Mothers against decapentaplegic homolog 5
Q6NT04,TIGD7,Tigger transposable element-derived protein 7
P36888,FLT3,Receptor-type tyrosine-protein kinase FLT3
Q96FQ6,S100A16,Protein S100-A16
Q14410,GK2,Glycerol kinase 2
P13716,ALAD,Delta-aminolevulinic acid dehydratase
Q6UUV7,CRTC3,CREB-regulated transcription coactivator 3
Q5JT82,KLF17,Krueppel-like factor 17
P16298,PPP3CB,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
Q92508,PIEZO1,Piezo-type mechanosensitive ion channel component 1
Q8WW12,PCNP,PEST proteolytic signal-containing nuclear protein
Q9Y6Y9,LY96,Lymphocyte antigen 96
P61158,ACTR3,Actin-related protein 3
Q9Y253,POLH,DNA polymerase eta
Q9NR12,PDLIM7,PDZ and LIM domain protein 7
Q6XQN6,NAPRT,Nicotinate phosphoribosyltransferase
Q7Z494,NPHP3,Nephrocystin-3
Q9P278,FNIP2,Folliculin-interacting protein 2
Q9H977,WDR54,WD repeat-containing protein 54
Q9BXL5,HEMGN,Hemogen
P32245,MC4R,Melanocortin receptor 4
Q17R55,FAM187B,Protein FAM187B
Q2M3D2,EXOC3L2,Exocyst complex component 3-like protein 2
P00568,AK1,Adenylate kinase isoenzyme 1
O14830,PPEF2,Serine/threonine-protein phosphatase with EF-hands 2
Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2
Q68D86,CCDC102B,Coiled-coil domain-containing protein 102B
Q8NAC3,IL17RC,Interleukin-17 receptor C
Q7Z7G8,VPS13B,Intermembrane lipid transfer protein VPS13B
Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11
P33402,GUCY1A2,Guanylate cyclase soluble subunit alpha-2
Q6QAJ8,TMEM220,Transmembrane protein 220
P28566,HTR1E,5-hydroxytryptamine receptor 1E
O75368,SH3BGRL,Adapter SH3BGRL
Q9HBJ7,USP29,Ubiquitin carboxyl-terminal hydrolase 29
P16444,DPEP1,Dipeptidase 1
Q9BRA2,TXNDC17,Thioredoxin domain-containing protein 17
Q96QG7,MTMR9,Myotubularin-related protein 9
P27449,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit c
Q15629,TRAM1,Translocating chain-associated membrane protein 1
Q5SXM8,DNLZ,DNL-type zinc finger protein
Q8WUJ3,CEMIP,Cell migration-inducing and hyaluronan-binding protein
Q9BRT6,LLPH,Protein LLP homolog
Q96GX5,MASTL,Serine/threonine-protein kinase greatwall
Q9H9S3,SEC61A2,Protein transport protein Sec61 subunit alpha isoform 2
P33763,S100A5,Protein S100-A5
Q9Y6P5,SESN1,Sestrin-1
Q05823,RNASEL,2-5A-dependent ribonuclease
P36222,CHI3L1,Chitinase-3-like protein 1
O14681,EI24,Etoposide-induced protein 2.4 homolog
Q12815,TROAP,Tastin
Q96NZ1,FOXN4,Forkhead box protein N4
Q9HCK8,CHD8,Chromodomain-helicase-DNA-binding protein 8
Q9P0W8,SPATA7,Spermatogenesis-associated protein 7
Q6XUX3,DSTYK,Dual serine/threonine and tyrosine protein kinase
P24043,LAMA2,Laminin subunit alpha-2
Q8NFJ9,BBS1,BBSome complex member BBS1
Q9NUJ1,ABHD10,"Palmitoyl-protein thioesterase ABHD10, mitochondrial"
Q5HYI7,MTX3,Metaxin-3
Q8NC96,NECAP1,Adaptin ear-binding coat-associated protein 1
Q9UKK3,PARP4,Protein mono-ADP-ribosyltransferase PARP4
Q6DN03,H2BC20P,Putative histone H2B type 2-C
Q9C002,NMES1,Normal mucosa of esophagus-specific gene 1 protein
P01160,NPPA,Natriuretic peptides A
P33897,ABCD1,ATP-binding cassette sub-family D member 1
P00918,CA2,Carbonic anhydrase 2
Q9UK58,CCNL1,Cyclin-L1
Q70EL4,USP43,Ubiquitin carboxyl-terminal hydrolase 43
Q5SVZ6,ZMYM1,Zinc finger MYM-type protein 1
P18846,ATF1,Cyclic AMP-dependent transcription factor ATF-1
Q9C0J9,BHLHE41,Class E basic helix-loop-helix protein 41
Q7L8W6,DPH6,Diphthine--ammonia ligase
P05423,POLR3D,DNA-directed RNA polymerase III subunit RPC4
P80511,S100A12,Protein S100-A12
Q96P31,FCRL3,Fc receptor-like protein 3
Q86WN2,IFNE,Interferon epsilon
Q9UHF1,EGFL7,Epidermal growth factor-like protein 7
Q16850,CYP51A1,Lanosterol 14-alpha demethylase
Q9Y575,ASB3,Ankyrin repeat and SOCS box protein 3
Q8NBM8,PCYOX1L,Prenylcysteine oxidase 1-like
Q16670,ZSCAN26,Zinc finger and SCAN domain-containing protein 26
O43236,SEPTIN4,Septin-4
O14508,SOCS2,Suppressor of cytokine signaling 2
Q9UIK5,TMEFF2,Tomoregulin-2
O95476,CTDNEP1,CTD nuclear envelope phosphatase 1
Q15370,ELOB,Elongin-B
Q9BZF2,OSBPL7,Oxysterol-binding protein-related protein 7
Q9NSC5,HOMER3,Homer protein homolog 3
Q8TCZ2,CD99L2,CD99 antigen-like protein 2
Q9Y342,PLLP,Plasmolipin
Q9BZD4,NUF2,Kinetochore protein Nuf2
Q9NP74,PALMD,Palmdelphin
Q7Z2W7,TRPM8,Transient receptor potential cation channel subfamily M member 8
Q9NX95,SYBU,Syntabulin
Q8WVT3,TRAPPC12,Trafficking protein particle complex subunit 12
Q8IVL5,P3H2,Prolyl 3-hydroxylase 2
O75487,GPC4,Glypican-4
Q8WUG5,SLC22A17,Solute carrier family 22 member 17
P25103,TACR1,Substance-P receptor
Q6ZQQ6,WDR87,WD repeat-containing protein 87
Q13415,ORC1,Origin recognition complex subunit 1
Q14956,GPNMB,Transmembrane glycoprotein NMB
Q7Z429,GRINA,Protein lifeguard 1
Q1EHB4,SLC5A12,Sodium-coupled monocarboxylate transporter 2
Q9UQ90,SPG7,Mitochondrial inner membrane m-AAA protease component paraplegin
Q5TBB1,RNASEH2B,Ribonuclease H2 subunit B
Q9P212,PLCE1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1"
Q13183,SLC13A2,Solute carrier family 13 member 2
Q9C009,FOXQ1,Forkhead box protein Q1
B2RTY4,MYO9A,Unconventional myosin-IXa
Q53F39,MPPE1,Metallophosphoesterase 1
O60902,SHOX2,Short stature homeobox protein 2
Q96DA6,DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14
P22413,ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
O95299,NDUFA10,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"
Q9P2K8,EIF2AK4,eIF-2-alpha kinase GCN2
P26927,MST1,Hepatocyte growth factor-like protein
Q9Y6R1,SLC4A4,Electrogenic sodium bicarbonate cotransporter 1
Q15327,ANKRD1,Ankyrin repeat domain-containing protein 1
Q9HAP2,MLXIP,MLX-interacting protein
Q96BQ1,FAM3D,Protein FAM3D
Q8IUR6,CREBRF,CREB3 regulatory factor
Q5SWX8,ODR4,Protein odr-4 homolog
Q15631,TSN,Translin
P54707,ATP12A,Potassium-transporting ATPase alpha chain 2
Q6TCH4,PAQR6,Membrane progestin receptor delta
Q15527,SURF2,Surfeit locus protein 2
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL
P16083,NQO2,Ribosyldihydronicotinamide dehydrogenase [quinone]
Q9NS87,KIF15,Kinesin-like protein KIF15
Q49MG5,MAP9,Microtubule-associated protein 9
Q02742,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase"
O75348,ATP6V1G1,V-type proton ATPase subunit G 1
P63316,TNNC1,"Troponin C, slow skeletal and cardiac muscles"
Q9Y572,RIPK3,Receptor-interacting serine/threonine-protein kinase 3
O15195,VILL,Villin-like protein
P08912,CHRM5,Muscarinic acetylcholine receptor M5
P61812,TGFB2,Transforming growth factor beta-2 proprotein
Q9HCC8,GDPD2,Glycerophosphoinositol inositolphosphodiesterase GDPD2
Q7L5Y6,DET1,DET1 homolog
Q96EB1,ELP4,Elongator complex protein 4
Q8TA94,ZNF563,Zinc finger protein 563
Q7Z4R8,C6orf120,UPF0669 protein C6orf120
Q86YD1,PTOV1,Prostate tumor-overexpressed gene 1 protein
Q8WUY3,PRUNE2,Protein prune homolog 2
Q9Y519,TMEM184B,Transmembrane protein 184B
P41586,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor
Q15819,UBE2V2,Ubiquitin-conjugating enzyme E2 variant 2
Q9NPG8,ZDHHC4,Palmitoyltransferase ZDHHC4
Q9UK73,FEM1B,Protein fem-1 homolog B
Q9HAV7,GRPEL1,"GrpE protein homolog 1, mitochondrial"
Q9H853,TUBA4B,Putative tubulin-like protein alpha-4B
P48751,SLC4A3,Anion exchange protein 3
Q5K4L6,SLC27A3,Long-chain fatty acid transport protein 3
Q3KNS1,PTCHD3,Patched domain-containing protein 3
P35251,RFC1,Replication factor C subunit 1
Q9H2P9,DPH5,Diphthine methyl ester synthase
Q9BRQ6,CHCHD6,MICOS complex subunit MIC25
P49916,LIG3,DNA ligase 3
Q5H8A4,PIGG,GPI ethanolamine phosphate transferase 2
Q9NUD7,C20orf96,Uncharacterized protein C20orf96
Q16517,NNAT,Neuronatin
Q6ZNC8,MBOAT1,Lysophospholipid acyltransferase 1
Q9NSY1,BMP2K,BMP-2-inducible protein kinase
O00754,MAN2B1,Lysosomal alpha-mannosidase
Q7Z570,ZNF804A,Zinc finger protein 804A
P18859,ATP5PF,"ATP synthase-coupling factor 6, mitochondrial"
Q96RT8,TUBGCP5,Gamma-tubulin complex component 5
Q96HD1,CRELD1,Protein disulfide isomerase CRELD1
Q9Y2W2,WBP11,WW domain-binding protein 11
Q969T3,SNX21,Sorting nexin-21
Q14494,NFE2L1,Endoplasmic reticulum membrane sensor NFE2L1
Q9UHG3,PCYOX1,Prenylcysteine oxidase 1
Q8NFN8,GPR156,Probable G-protein coupled receptor 156
Q8IYD9,LAS2,Lung adenoma susceptibility protein 2
Q6P9B9,INTS5,Integrator complex subunit 5
P41212,ETV6,Transcription factor ETV6
O95864,FADS2,Acyl-CoA 6-desaturase
Q96IK1,BOD1,Biorientation of chromosomes in cell division protein 1
Q8IXF0,NPAS3,Neuronal PAS domain-containing protein 3
Q96N19,GPR137,Integral membrane protein GPR137
Q9BTL4,IER2,Immediate early response gene 2 protein
Q8WU10,PYROXD1,Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1
P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial"
P43308,SSR2,Translocon-associated protein subunit beta
Q8N1N4,KRT78,"Keratin, type II cytoskeletal 78"
Q96HE7,ERO1A,ERO1-like protein alpha
Q6B0I6,KDM4D,Lysine-specific demethylase 4D
Q13459,MYO9B,Unconventional myosin-IXb
P46095,GPR6,G-protein coupled receptor 6
Q9Y4F5,CEP170B,Centrosomal protein of 170 kDa protein B
Q9Y2F9,BTBD3,BTB/POZ domain-containing protein 3
Q9H2U2,PPA2,"Inorganic pyrophosphatase 2, mitochondrial"
Q6NX49,ZNF544,Zinc finger protein 544
Q9UBK8,MTRR,Methionine synthase reductase
Q9BU61,NDUFAF3,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3
Q9NV64,TMEM39A,Transmembrane protein 39A
Q86UT6,NLRX1,NLR family member X1
O14645,DNALI1,Axonemal dynein light intermediate polypeptide 1
O95382,MAP3K6,Mitogen-activated protein kinase kinase kinase 6
Q14781,CBX2,Chromobox protein homolog 2
O15353,FOXN1,Forkhead box protein N1
Q8NDX5,PHC3,Polyhomeotic-like protein 3
P56645,PER3,Period circadian protein homolog 3
P41214,EIF2D,Eukaryotic translation initiation factor 2D
Q8IWF9,CCDC83,Coiled-coil domain-containing protein 83
Q86SF2,GALNT7,N-acetylgalactosaminyltransferase 7
P28476,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2
P33764,S100A3,Protein S100-A3
Q5JTW2,CEP78,Centrosomal protein of 78 kDa
P54368,OAZ1,Ornithine decarboxylase antizyme 1
Q8TD90,MAGEE2,Melanoma-associated antigen E2
Q9Y561,LRP12,Low-density lipoprotein receptor-related protein 12
Q6UWJ8,CD164L2,CD164 sialomucin-like 2 protein
Q96E52,OMA1,"Metalloendopeptidase OMA1, mitochondrial"
Q6P1M0,SLC27A4,Long-chain fatty acid transport protein 4
P30531,SLC6A1,Sodium- and chloride-dependent GABA transporter 1
P51679,CCR4,C-C chemokine receptor type 4
Q96D71,REPS1,RalBP1-associated Eps domain-containing protein 1
Q2M2I8,AAK1,AP2-associated protein kinase 1
P0C0S5,H2AZ1,Histone H2A.Z
P63313,TMSB10,Thymosin beta-10
O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
P56178,DLX5,Homeobox protein DLX-5
P27544,CERS1,Ceramide synthase 1
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10
P29144,TPP2,Tripeptidyl-peptidase 2
Q99952,PTPN18,Tyrosine-protein phosphatase non-receptor type 18
Q92544,TM9SF4,Transmembrane 9 superfamily member 4
P61266,STX1B,Syntaxin-1B
Q9H3R0,KDM4C,Lysine-specific demethylase 4C
P31994,FCGR2B,Low affinity immunoglobulin gamma Fc region receptor II-b
Q9NRW1,RAB6B,Ras-related protein Rab-6B
Q06495,SLC34A1,Sodium-dependent phosphate transport protein 2A
Q8N339,MT1M,Metallothionein-1M
Q9C029,TRIM7,E3 ubiquitin-protein ligase TRIM7
Q9H063,MAF1,Repressor of RNA polymerase III transcription MAF1 homolog
P15313,ATP6V1B1,"V-type proton ATPase subunit B, kidney isoform"
Q9H0N0,RAB6C,Ras-related protein Rab-6C
O95257,GADD45G,Growth arrest and DNA damage-inducible protein GADD45 gamma
Q6ZV29,PNPLA7,Patatin-like phospholipase domain-containing protein 7
Q4V348,ZNF658B,Zinc finger protein 658B
Q96IZ0,PAWR,PRKC apoptosis WT1 regulator protein
P09848,LCT,Lactase/phlorizin hydrolase
O95922,TTLL1,Polyglutamylase complex subunit TTLL1
Q9NNX6,CD209,CD209 antigen
O15062,ZBTB5,Zinc finger and BTB domain-containing protein 5
Q9BPU6,DPYSL5,Dihydropyrimidinase-related protein 5
Q96C10,DHX58,ATP-dependent RNA helicase DHX58
P01127,PDGFB,Platelet-derived growth factor subunit B
Q96BR9,ZBTB8A,Zinc finger and BTB domain-containing protein 8A
Q16555,DPYSL2,Dihydropyrimidinase-related protein 2
Q08499,PDE4D,"3',5'-cyclic-AMP phosphodiesterase 4D"
Q9NQX3,GPHN,Gephyrin
Q15560,TCEA2,Transcription elongation factor A protein 2
Q9NV56,MRGBP,MRG/MORF4L-binding protein
Q96GM8,TOE1,Target of EGR1 protein 1
P15516,HTN3,Histatin-3
Q96MW1,CCDC43,Coiled-coil domain-containing protein 43
Q8NB25,FAM184A,Protein FAM184A
P16870,CPE,Carboxypeptidase E
Q8N2Y8,RUSC2,AP-4 complex accessory subunit RUSC2
P23560,BDNF,Neurotrophic factor BDNF precursor form
O15553,MEFV,Pyrin
Q15759,MAPK11,Mitogen-activated protein kinase 11
Q8TC29,ENKUR,Enkurin
A4UGR9,XIRP2,Xin actin-binding repeat-containing protein 2
Q9NQI0,DDX4,Probable ATP-dependent RNA helicase DDX4
O75920,SERF1B,Small EDRK-rich factor 1
P24394,IL4R,Interleukin-4 receptor subunit alpha
Q9Y4G6,TLN2,Talin-2
P04731,MT1A,Metallothionein-1A
P59551,TAS2R60,Taste receptor type 2 member 60
P42229,STAT5A,Signal transducer and activator of transcription 5A
Q9H8M9,EVA1A,Protein eva-1 homolog A
Q14135,VGLL4,Transcription cofactor vestigial-like protein 4
Q9GZP7,VN1R1,Vomeronasal type-1 receptor 1
Q9BZD6,PRRG4,Transmembrane gamma-carboxyglutamic acid protein 4
O14497,ARID1A,AT-rich interactive domain-containing protein 1A
P33552,CKS2,Cyclin-dependent kinases regulatory subunit 2
Q86V25,VASH2,Tubulinyl-Tyr carboxypeptidase 2
A8MW92,PHF20L1,PHD finger protein 20-like protein 1
Q9UI46,DNAI1,Dynein axonemal intermediate chain 1
Q96L91,EP400,E1A-binding protein p400
P14927,UQCRB,Cytochrome b-c1 complex subunit 7
Q9C0H9,SRCIN1,SRC kinase signaling inhibitor 1
Q8NA70,FAM47B,Protein FAM47B
Q96PT4,DUX3,Putative double homeobox protein 3
O75503,CLN5,Bis(monoacylglycero)phosphate synthase CLN5
Q9UJ78,ZMYM5,Zinc finger MYM-type protein 5
Q7Z7E8,UBE2Q1,Ubiquitin-conjugating enzyme E2 Q1
Q6ZSB9,ZBTB49,Zinc finger and BTB domain-containing protein 49
Q8WW33,GTSF1,Gametocyte-specific factor 1
Q96KR7,PHACTR3,Phosphatase and actin regulator 3
Q9HCP0,CSNK1G1,Casein kinase I isoform gamma-1
O76080,ZFAND5,AN1-type zinc finger protein 5
Q9NPG3,UBN1,Ubinuclein-1
Q76N89,HECW1,E3 ubiquitin-protein ligase HECW1
Q16254,E2F4,Transcription factor E2F4
B0YJ81,HACD1,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1
Q8N2I9,STK40,Serine/threonine-protein kinase 40
Q06250,WT1-AS,Putative Wilms tumor upstream neighbor 1 gene protein
Q9NRA0,SPHK2,Sphingosine kinase 2
Q9NRD0,FBXO8,F-box only protein 8
Q8WZA2,RAPGEF4,Rap guanine nucleotide exchange factor 4
Q99801,NKX3-1,Homeobox protein Nkx-3.1
P30989,NTSR1,Neurotensin receptor type 1
P28223,HTR2A,5-hydroxytryptamine receptor 2A
P41231,P2RY2,P2Y purinoceptor 2
P35346,SSTR5,Somatostatin receptor type 5
Q8N1C3,GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1
P98155,VLDLR,Very low-density lipoprotein receptor
Q13356,PPIL2,RING-type E3 ubiquitin-protein ligase PPIL2
P27169,PON1,Serum paraoxonase/arylesterase 1
P02730,SLC4A1,Band 3 anion transport protein
Q8NB78,KDM1B,Lysine-specific histone demethylase 2
Q9H013,ADAM19,Disintegrin and metalloproteinase domain-containing protein 19
Q8N556,AFAP1,Actin filament-associated protein 1
Q13393,PLD1,Phospholipase D1
Q86YM7,HOMER1,Homer protein homolog 1
P21145,MAL,Myelin and lymphocyte protein
P35348,ADRA1A,Alpha-1A adrenergic receptor
Q8NEM0,MCPH1,Microcephalin
P29475,NOS1,Nitric oxide synthase 1
P28360,MSX1,Homeobox protein MSX-1
Q9UPT6,MAPK8IP3,C-Jun-amino-terminal kinase-interacting protein 3
A8K7I4,CLCA1,Calcium-activated chloride channel regulator 1
Q8WWF5,ZNRF4,E3 ubiquitin-protein ligase ZNRF4
Q9UQC9,CLCA2,Calcium-activated chloride channel regulator 2
Q7Z6J2,TAMALIN,Protein TAMALIN
Q9BY78,RNF26,E3 ubiquitin-protein ligase RNF26
Q99941,ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta
Q8NHG8,ZNRF2,E3 ubiquitin-protein ligase ZNRF2
O15455,TLR3,Toll-like receptor 3
P62256,UBE2H,Ubiquitin-conjugating enzyme E2 H
P04198,MYCN,N-myc proto-oncogene protein
P60022,DEFB1,Beta-defensin 1
Q96BD6,SPSB1,SPRY domain-containing SOCS box protein 1
Q8N2H9,PELI3,E3 ubiquitin-protein ligase pellino homolog 3
Q96NY7,CLIC6,Chloride intracellular channel protein 6
Q53GL7,PARP10,Protein mono-ADP-ribosyltransferase PARP10
Q8IWV1,LAX1,Lymphocyte transmembrane adapter 1
O95411,MYO18A,Putative TGFB1-induced anti-apoptotic factor 1
Q9Y5N1,HRH3,Histamine H3 receptor
Q9Y5B6,PAXBP1,PAX3- and PAX7-binding protein 1
Q969Y2,GTPBP3,"tRNA modification GTPase GTPBP3, mitochondrial"
O60725,ICMT,Protein-S-isoprenylcysteine O-methyltransferase
Q7Z699,SPRED1,"Sprouty-related, EVH1 domain-containing protein 1"
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3
Q9UK17,KCND3,A-type voltage-gated potassium channel KCND3
Q9UK45,LSM7,U6 snRNA-associated Sm-like protein LSm7
Q9BWQ8,FAIM2,Protein lifeguard 2
Q6JQN1,ACAD10,Acyl-CoA dehydrogenase family member 10
Q8TDL5,BPIFB1,BPI fold-containing family B member 1
Q96HZ4,HES6,Transcription cofactor HES-6
Q96S97,MYADM,Myeloid-associated differentiation marker
Q86UR5,RIMS1,Regulating synaptic membrane exocytosis protein 1
Q9Y485,DMXL1,DmX-like protein 1
Q99735,MGST2,Microsomal glutathione S-transferase 2
Q9HBL7,PLGRKT,Plasminogen receptor (KT)
Q92834,RPGR,X-linked retinitis pigmentosa GTPase regulator
Q9HCG1,ZNF160,Zinc finger protein 160
Q9Y6F8,CDY1B,Testis-specific chromodomain protein Y 1
Q9NVG8,TBC1D13,TBC1 domain family member 13
Q99578,RIT2,GTP-binding protein Rit2
O76050,NEURL1,E3 ubiquitin-protein ligase NEURL1
P11226,MBL2,Mannose-binding protein C
